threshold,precision,recall,f1
0.7000000000000004,0.6610169491525424,0.8125,0.7289719626168224
0.7300000000000004,0.6756756756756757,0.78125,0.7246376811594203
0.7200000000000004,0.6666666666666666,0.7916666666666666,0.7238095238095238
0.6900000000000004,0.65,0.8125,0.7222222222222222
0.7100000000000004,0.6608695652173913,0.7916666666666666,0.7203791469194313
0.7400000000000004,0.6727272727272727,0.7708333333333334,0.7184466019417476
0.7600000000000005,0.6857142857142857,0.75,0.7164179104477612
0.6500000000000004,0.6119402985074627,0.8541666666666666,0.7130434782608696
0.6700000000000004,0.6201550387596899,0.8333333333333334,0.7111111111111111
0.6600000000000004,0.6136363636363636,0.84375,0.7105263157894737
0.6800000000000004,0.6290322580645161,0.8125,0.7090909090909091
0.8100000000000005,0.7204301075268817,0.6979166666666666,0.708994708994709
0.7500000000000004,0.6666666666666666,0.75,0.7058823529411765
0.7900000000000005,0.7127659574468085,0.6979166666666666,0.7052631578947368
0.8000000000000005,0.7127659574468085,0.6979166666666666,0.7052631578947368
0.7700000000000005,0.6938775510204082,0.7083333333333334,0.7010309278350515
0.7800000000000005,0.6907216494845361,0.6979166666666666,0.694300518134715
0.6300000000000003,0.5774647887323944,0.8541666666666666,0.6890756302521008
0.6400000000000003,0.5774647887323944,0.8541666666666666,0.6890756302521008
0.6200000000000003,0.5734265734265734,0.8541666666666666,0.6861924686192469
0.6100000000000003,0.5570469798657718,0.8645833333333334,0.6775510204081633
0.6000000000000003,0.5460526315789473,0.8645833333333334,0.6693548387096774
0.5900000000000003,0.535483870967742,0.8645833333333334,0.6613545816733067
0.5700000000000003,0.5283018867924528,0.875,0.6588235294117647
0.5800000000000003,0.532051282051282,0.8645833333333334,0.6587301587301587
0.5600000000000003,0.525,0.875,0.65625
0.5500000000000003,0.5153374233128835,0.875,0.6486486486486487
0.5400000000000003,0.509090909090909,0.875,0.6436781609195402
0.5300000000000002,0.5,0.875,0.6363636363636364
0.5200000000000002,0.4970414201183432,0.875,0.6339622641509434
0.5100000000000002,0.4883720930232558,0.875,0.6268656716417911
0.5000000000000002,0.4827586206896552,0.875,0.6222222222222222
0.49000000000000027,0.47191011235955055,0.875,0.6131386861313869
0.47000000000000025,0.4574468085106383,0.8958333333333334,0.6056338028169014
0.46000000000000024,0.455026455026455,0.8958333333333334,0.6035087719298246
0.48000000000000026,0.45652173913043476,0.875,0.6
0.45000000000000023,0.4479166666666667,0.8958333333333334,0.5972222222222222
0.4400000000000002,0.4387755102040816,0.8958333333333334,0.589041095890411
0.4200000000000002,0.42718446601941745,0.9166666666666666,0.5827814569536424
0.4300000000000002,0.43,0.8958333333333334,0.581081081081081
0.4100000000000002,0.411214953271028,0.9166666666666666,0.567741935483871
0.4000000000000002,0.4,0.9166666666666666,0.5569620253164557
0.3900000000000002,0.3938053097345133,0.9270833333333334,0.5527950310559007
0.38000000000000017,0.38197424892703863,0.9270833333333334,0.541033434650456
0.37000000000000016,0.3755274261603376,0.9270833333333334,0.5345345345345346
0.36000000000000015,0.3617886178861789,0.9270833333333334,0.52046783625731
0.35000000000000014,0.3603238866396761,0.9270833333333334,0.5189504373177842
0.34000000000000014,0.357429718875502,0.9270833333333334,0.5159420289855072
0.3300000000000001,0.34765625,0.9270833333333334,0.5056818181818182
0.3200000000000001,0.34220532319391633,0.9375,0.5013927576601671
0.3100000000000001,0.33210332103321033,0.9375,0.4904632152588556
0.3000000000000001,0.31802120141342755,0.9375,0.47493403693931396
0.2900000000000001,0.314878892733564,0.9479166666666666,0.4727272727272727
0.2800000000000001,0.31208053691275167,0.96875,0.4720812182741117
0.2700000000000001,0.30293159609120524,0.96875,0.46153846153846156
0.26000000000000006,0.2888198757763975,0.96875,0.4449760765550239
0.25000000000000006,0.283987915407855,0.9791666666666666,0.44028103044496486
0.24000000000000005,0.2781065088757396,0.9791666666666666,0.43317972350230416
0.23000000000000004,0.2678062678062678,0.9791666666666666,0.42058165548098436
0.22000000000000003,0.2618384401114206,0.9791666666666666,0.41318681318681316
0.21000000000000002,0.25405405405405407,0.9791666666666666,0.4034334763948498
0.2,0.25066666666666665,0.9791666666666666,0.3991507430997877
