model,threshold,accuracy,precision,recall,f1_score,roc_auc,pr_auc,tn,fp,fn,tp
Calibrated LR (Isotonic),0.5,0.971,0.8681318681318682,0.8229166666666666,0.8449197860962567,0.988454092920354,0.9324504089098277,892,12,17,79
Tuned LR (Best F1 Thr),0.3500000000000001,0.969,0.8282828282828283,0.8541666666666666,0.841025641025641,0.9886384587020649,0.9325250618280019,887,17,14,82
Tuned LR (0.50),0.5,0.969,0.8735632183908046,0.7916666666666666,0.8306010928961749,0.9886384587020649,0.9325250618280019,893,11,20,76
Baseline LR,0.5,0.967,0.8888888888888888,0.75,0.8135593220338984,0.9859536320058997,0.9237182897611689,895,9,24,72
SMOTE LR,0.5,0.933,0.5960264900662252,0.9375,0.728744939271255,0.9872902839233039,0.9228341058900339,843,61,6,90
Balanced LR,0.5,0.92,0.5476190476190477,0.9583333333333334,0.696969696969697,0.985723174778761,0.9149849035546253,828,76,4,92
